"Topic","RankOrder_ImportantceforWord","Word"
"Topic 3",80,"determine"
"Topic 3",81,"application"
"Topic 3",82,"flow"
"Topic 3",83,"assigned"
"Topic 3",84,"signaling"
"Topic 3",85,"destination"
"Topic 3",86,"backbone"
"Topic 3",87,"establish"
"Topic 3",88,"provide"
"Topic 3",89,"architecture"
"Topic 3",90,"exchange"
"Topic 3",91,"multiple"
"Topic 3",92,"sends"
"Topic 3",93,"different"
"Topic 3",94,"priority"
"Topic 3",95,"whether"
"Topic 3",96,"update"
"Topic 3",97,"receives"
"Topic 3",98,"bandwidth"
"Topic 3",99,"number"
"Topic 3",100,"modem"
"Topic 4",1,"transfer"
"Topic 4",2,"roller"
"Topic 4",3,"image"
"Topic 4",4,"toner"
"Topic 4",5,"forming"
"Topic 4",6,"belt"
"Topic 4",7,"drum"
"Topic 4",8,"paper"
"Topic 4",9,"developing"
"Topic 4",10,"direction"
"Topic 4",11,"developer"
"Topic 4",12,"position"
"Topic 4",13,"apparatus"
"Topic 4",14,"fixing"
"Topic 4",15,"photosensitive"
"Topic 4",16,"conveying"
"Topic 4",17,"surface"
"Topic 4",18,"rollers"
"Topic 4",19,"formed"
"Topic 4",20,"intermediate"
"Topic 4",21,"tray"
"Topic 4",22,"transferred"
"Topic 4",23,"embodiment"
"Topic 4",24,"amount"
"Topic 4",25,"sheet"
"Topic 4",26,"path"
"Topic 4",27,"conveyance"
"Topic 4",28,"conveyed"
"Topic 4",29,"supply"
"Topic 4",30,"feed"
"Topic 4",31,"latent"
"Topic 4",32,"electrostatic"
"Topic 4",33,"onto"
"Topic 4",34,"side"
"Topic 4",35,"described"
"Topic 4",36,"shown"
"Topic 4",37,"provided"
"Topic 4",38,"cartridge"
"Topic 4",39,"development"
"Topic 4",40,"medium"
"Topic 4",41,"separation"
"Topic 4",42,"scanning"
"Topic 4",43,"charging"
"Topic 4",44,"material"
"Topic 4",45,"operation"
"Topic 4",46,"photoconductor"
"Topic 4",47,"main"
"Topic 4",48,"color"
"Topic 4",49,"discharge"
"Topic 4",50,"disposed"
"Topic 4",51,"exposure"
"Topic 4",52,"cleaning"
"Topic 4",53,"driving"
"Topic 4",54,"includes"
"Topic 4",55,"photoreceptor"
"Topic 4",56,"contact"
"Topic 4",57,"recording"
"Topic 4",58,"formation"
"Topic 4",59,"rotary"
"Topic 4",60,"transparent"
"Topic 4",61,"arrow"
"Topic 4",62,"platen"
"Topic 4",63,"exemplary"
"Topic 4",64,"yellow"
"Topic 4",65,"reference"
"Topic 4",66,"images"
"Topic 4",67,"transferring"
"Topic 4",68,"process"
"Topic 4",69,"therefore"
"Topic 4",70,"downstream"
"Topic 4",71,"carrying"
"Topic 4",72,"rotation"
"Topic 4",73,"charge"
"Topic 4",74,"feeding"
"Topic 4",75,"pressure"
"Topic 4",76,"secondary"
"Topic 4",77,"time"
"Topic 4",78,"bias"
"Topic 4",79,"fixation"
"Topic 4",80,"bearing"
"Topic 4",81,"electrophotographic"
"Topic 4",82,"opening"
"Topic 4",83,"will"
"Topic 4",84,"black"
"Topic 4",85,"member"
"Topic 4",86,"drums"
"Topic 4",87,"configuration"
"Topic 4",88,"upstream"
"Topic 4",89,"passes"
"Topic 4",90,"portion"
"Topic 4",91,"predetermined"
"Topic 4",92,"state"
"Topic 4",93,"present"
"Topic 4",94,"magenta"
"Topic 4",95,"printer"
"Topic 4",96,"configured"
"Topic 4",97,"first"
"Topic 4",98,"example"
"Topic 4",99,"printing"
"Topic 4",100,"intermediary"
"Topic 5",1,"cutting"
"Topic 5",2,"piece"
"Topic 5",3,"pieces"
"Topic 5",4,"insert"
"Topic 5",5,"diamond"
"Topic 5",6,"body"
"Topic 5",7,"cutter"
"Topic 5",8,"axis"
"Topic 5",9,"dust"
"Topic 5",10,"invention"
"Topic 5",11,"tool"
"Topic 5",12,"vertical"
"Topic 5",13,"used"
"Topic 5",14,"inserts"
"Topic 5",15,"present"
"Topic 5",16,"surface"
"Topic 5",17,"embodiment"
"Topic 5",18,"plotted"
"Topic 5",19,"scraping"
"Topic 5",20,"form"
"Topic 5",21,"formed"
"Topic 5",22,"center"
"Topic 5",23,"scraper"
"Topic 5",24,"provided"
"Topic 5",25,"face"
"Topic 5",26,"collecting"
"Topic 5",27,"material"
"Topic 5",28,"process"
"Topic 5",29,"machining"
"Topic 5",30,"possible"
"Topic 5",31,"construction"
"Topic 5",32,"hole"
"Topic 5",33,"working"
"Topic 5",34,"rgbleds"
"Topic 5",35,"desired"
"Topic 5",36,"bonded"
"Topic 5",37,"plurality"
"Topic 5",38,"operation"
"Topic 5",39,"reactive"
"Topic 5",40,"work"
"Topic 5",41,"bottom"
"Topic 5",42,"thereby"
"Topic 5",43,"volume"
"Topic 5",44,"result"
"Topic 5",45,"knife"
"Topic 5",46,"dough"
"Topic 5",47,"wear"
"Topic 5",48,"along"
"Topic 5",49,"conventional"
"Topic 5",50,"manner"
"Topic 5",51,"depth"
"Topic 5",52,"view"
"Topic 5",53,"positioned"
"Topic 5",54,"infiltrant"
"Topic 5",55,"drill"
"Topic 5",56,"attached"
"Topic 5",57,"connection"
"Topic 5",58,"compact"
"Topic 5",59,"adjacent"
"Topic 5",60,"figs"
"Topic 5",61,"addition"
"Topic 5",62,"hpht"
"Topic 5",63,"wherein"
"Topic 5",64,"grinding"
"Topic 5",65,"knives"
"Topic 5",66,"results"
"Topic 5",67,"removed"
"Topic 5",68,"press"
"Topic 5",69,"ventilation"
"Topic 5",70,"shape"
"Topic 5",71,"polycrystalline"
"Topic 5",72,"structure"
"Topic 5",73,"furthermore"
"Topic 5",74,"engaged"
"Topic 5",75,"also"
"Topic 5",76,"different"
"Topic 5",77,"sent"
"Topic 5",78,"robust"
"Topic 5",79,"carbide"
"Topic 5",80,"order"
"Topic 5",81,"substantially"
"Topic 5",82,"degree"
"Topic 5",83,"specifically"
"Topic 5",84,"prior"
"Topic 5",85,"described"
"Topic 5",86,"rotating"
"Topic 5",87,"portion"
"Topic 5",88,"abovedescribed"
"Topic 5",89,"perspective"
"Topic 5",90,"illustrated"
"Topic 5",91,"showing"
"Topic 5",92,"relative"
"Topic 5",93,"size"
"Topic 5",94,"provide"
"Topic 5",95,"method"
"Topic 5",96,"forming"
"Topic 5",97,"checkpoint"
"Topic 5",98,"number"
"Topic 5",99,"stamping"
"Topic 5",100,"artwork"
"Topic 6",1,"cable"
"Topic 6",2,"wire"
"Topic 6",3,"conductor"
"Topic 6",4,"shell"
"Topic 6",5,"wires"
"Topic 6",6,"welding"
"Topic 6",7,"conductors"
"Topic 6",8,"cables"
"Topic 6",9,"bending"
"Topic 6",10,"embodiment"
"Topic 6",11,"invention"
"Topic 6",12,"coaxial"
"Topic 6",13,"length"
"Topic 6",14,"insulation"
"Topic 6",15,"electrical"
"Topic 6",16,"weld"
"Topic 6",17,"connected"
"Topic 6",18,"bars"
"Topic 6",19,"tension"
"Topic 6",20,"connection"
"Topic 6",21,"wiring"
"Topic 6",22,"around"
"Topic 6",23,"shown"
"Topic 6",24,"aluminum"
"Topic 6",25,"copper"
"Topic 6",26,"also"
"Topic 6",27,"grill"
"Topic 6",28,"figs"
"Topic 6",29,"applied"
"Topic 6",30,"made"
"Topic 6",31,"denb"
"Topic 6",32,"insulator"
"Topic 6",33,"includes"
"Topic 6",34,"resistance"
"Topic 6",35,"diameter"
"Topic 6",36,"damaged"
"Topic 6",37,"view"
"Topic 6",38,"illustrated"
"Topic 6",39,"within"
"Topic 6",40,"used"
"Topic 6",41,"pipeline"
"Topic 6",42,"hrpd"
"Topic 6",43,"shim"
"Topic 6",44,"current"
"Topic 6",45,"present"
"Topic 6",46,"collar"
"Topic 6",47,"together"
"Topic 6",48,"bent"
"Topic 6",49,"will"
"Topic 6",50,"ends"
"Topic 6",51,"since"
"Topic 6",52,"insulated"
"Topic 6",53,"shells"
"Topic 6",54,"illustrates"
"Topic 6",55,"least"
"Topic 6",56,"signaling"
"Topic 6",57,"gripping"
"Topic 6",58,"pair"
"Topic 6",59,"inches"
"Topic 6",60,"installation"
"Topic 6",61,"diskpack"
"Topic 6",62,"connectors"
"Topic 6",63,"transition"
"Topic 6",64,"slots"
"Topic 6",65,"point"
"Topic 6",66,"vortex"
"Topic 6",67,"another"
"Topic 6",68,"connects"
"Topic 6",69,"provided"
"Topic 6",70,"easily"
"Topic 6",71,"embedded"
"Topic 6",72,"jacket"
"Topic 6",73,"pdsn"
"Topic 6",74,"torch"
"Topic 6",75,"bearer"
"Topic 6",76,"bend"
"Topic 6",77,"process"
"Topic 6",78,"compression"
"Topic 6",79,"pivotal"
"Topic 6",80,"transceiver"
"Topic 6",81,"crosssection"
"Topic 6",82,"distance"
"Topic 6",83,"indoor"
"Topic 6",84,"insulating"
"Topic 6",85,"ntsc"
"Topic 6",86,"number"
"Topic 6",87,"different"
"Topic 6",88,"thus"
"Topic 6",89,"method"
"Topic 6",90,"crosssectional"
"Topic 6",91,"moreover"
"Topic 6",92,"prior"
"Topic 6",93,"wrench"
"Topic 6",94,"termination"
"Topic 6",95,"enameled"
"Topic 6",96,"configuration"
"Topic 6",97,"twisted"
"Topic 6",98,"priority"
"Topic 6",99,"split"
"Topic 6",100,"welded"
"Topic 7",1,"fluid"
"Topic 7",2,"flow"
"Topic 7",3,"inlet"
"Topic 7",4,"outlet"
"Topic 7",5,"conduit"
"Topic 7",6,"pressure"
"Topic 7",7,"within"
"Topic 7",8,"figs"
"Topic 7",9,"rate"
"Topic 7",10,"wall"
"Topic 7",11,"communication"
"Topic 7",12,"shown"
"Topic 7",13,"tube"
"Topic 7",14,"duct"
"Topic 7",15,"mixing"
"Topic 7",16,"housing"
"Topic 7",17,"opening"
"Topic 7",18,"flows"
"Topic 7",19,"manifold"
"Topic 7",20,"orifice"
"Topic 7",21,"will"
"Topic 7",22,"liquid"
"Topic 7",23,"generally"
"Topic 7",24,"includes"
"Topic 7",25,"forward"
"Topic 7",26,"along"
"Topic 7",27,"interior"
"Topic 7",28,"volume"
"Topic 7",29,"fluids"
"Topic 7",30,"passage"
"Topic 7",31,"flowing"
"Topic 7",32,"downstream"
"Topic 7",33,"path"
"Topic 7",34,"positioned"
"Topic 7",35,"embodiment"
"Topic 7",36,"surface"
"Topic 7",37,"also"
"Topic 7",38,"supply"
"Topic 7",39,"passageway"
"Topic 7",40,"open"
"Topic 7",41,"bypass"
"Topic 7",42,"conduits"
"Topic 7",43,"internal"
"Topic 7",44,"upstream"
"Topic 7",45,"invention"
"Topic 7",46,"crosssectional"
"Topic 7",47,"provided"
"Topic 7",48,"substantially"
"Topic 7",49,"diverter"
"Topic 7",50,"exit"
"Topic 7",51,"preferably"
"Topic 7",52,"reservoir"
"Topic 7",53,"rearward"
"Topic 7",54,"bore"
"Topic 7",55,"closed"
"Topic 7",56,"located"
"Topic 7",57,"shear"
"Topic 7",58,"cavity"
"Topic 7",59,"blower"
"Topic 7",60,"passages"
"Topic 7",61,"disposed"
"Topic 7",62,"vanes"
"Topic 7",63,"aperture"
"Topic 7",64,"plenum"
"Topic 7",65,"another"
"Topic 7",66,"diameter"
"Topic 7",67,"view"
"Topic 7",68,"form"
"Topic 7",69,"airflow"
"Topic 7",70,"system"
"Topic 7",71,"well"
"Topic 7",72,"pressurized"
"Topic 7",73,"seen"
"Topic 7",74,"pump"
"Topic 7",75,"leakage"
"Topic 7",76,"facing"
"Topic 7",77,"described"
"Topic 7",78,"present"
"Topic 7",79,"baffle"
"Topic 7",80,"thereby"
"Topic 7",81,"provide"
"Topic 7",82,"axis"
"Topic 7",83,"comprises"
"Topic 7",84,"source"
"Topic 7",85,"area"
"Topic 7",86,"delivery"
"Topic 7",87,"metering"
"Topic 7",88,"extends"
"Topic 7",89,"fluidly"
"Topic 7",90,"accordance"
"Topic 7",91,"orifices"
"Topic 7",92,"schematic"
"Topic 7",93,"defines"
"Topic 7",94,"desired"
"Topic 7",95,"adjacent"
"Topic 7",96,"inlets"
"Topic 7",97,"thus"
"Topic 7",98,"alternatively"
"Topic 7",99,"dispensing"
"Topic 7",100,"illustration"
"Topic 8",1,"steel"
"Topic 8",2,"applicator"
"Topic 8",3,"duty"
"Topic 8",4,"stainless"
"Topic 8",5,"category"
"Topic 8",6,"ratio"
"Topic 8",7,"invention"
"Topic 8",8,"range"
"Topic 8",9,"present"
"Topic 8",10,"imagecapturing"
"Topic 8",11,"example"
"Topic 8",12,"evse"
"Topic 8",13,"amount"
"Topic 8",14,"blast"
"Topic 8",15,"recorder"
"Topic 8",16,"using"
"Topic 8",17,"high"
"Topic 8",18,"decurler"
"Topic 8",19,"electronic"
"Topic 8",20,"categories"
"Topic 8",21,"shows"
"Topic 8",22,"method"
"Topic 8",23,"part"
"Topic 8",24,"according"
"Topic 8",25,"obtained"
"Topic 8",26,"comparative"
"Topic 8",27,"used"
"Topic 8",28,"therefore"
"Topic 8",29,"also"
"Topic 8",30,"helix"
"Topic 8",31,"blasting"
"Topic 8",32,"applied"
"Topic 8",33,"album"
"Topic 8",34,"thickness"
"Topic 8",35,"toggling"
"Topic 8",36,"semimaximization"
"Topic 8",37,"cyclisation"
"Topic 8",38,"isoprenoid"
"Topic 8",39,"mascara"
"Topic 8",40,"hours"
"Topic 8",41,"correction"
"Topic 8",42,"semimaximized"
"Topic 8",43,"found"
"Topic 8",44,"helical"
"Topic 8",45,"structure"
"Topic 8",46,"storage"
"Topic 8",47,"counting"
"Topic 8",48,"product"
"Topic 8",49,"nitrile"
"Topic 8",50,"less"
"Topic 8",51,"acetal"
"Topic 8",52,"microvalve"
"Topic 8",53,"however"
"Topic 8",54,"casno"
"Topic 8",55,"lower"
"Topic 8",56,"rolling"
"Topic 8",57,"sers"
"Topic 8",58,"annealing"
"Topic 8",59,"molten"
"Topic 8",60,"elongation"
"Topic 8",61,"biting"
"Topic 8",62,"added"
"Topic 8",63,"respective"
"Topic 8",64,"unitwall"
"Topic 8",65,"slow"
"Topic 8",66,"thus"
"Topic 8",67,"metallic"
"Topic 8",68,"based"
"Topic 8",69,"temperature"
"Topic 8",70,"agfon"
"Topic 8",71,"excellent"
"Topic 8",72,"results"
"Topic 8",73,"maximum"
"Topic 8",74,"failure"
"Topic 8",75,"case"
"Topic 8",76,"source"
"Topic 8",77,"casting"
"Topic 8",78,"spores"
"Topic 8",79,"upper"
"Topic 8",80,"illustrates"
"Topic 8",81,"addition"
"Topic 8",82,"process"
"Topic 8",83,"tzpim"
"Topic 8",84,"codes"
"Topic 8",85,"shown"
"Topic 8",86,"fracture"
"Topic 8",87,"initiator"
"Topic 8",88,"able"
"Topic 8",89,"containing"
"Topic 8",90,"includes"
"Topic 8",91,"resistance"
"Topic 8",92,"will"
"Topic 8",93,"weight"
"Topic 8",94,"ridging"
"Topic 8",95,"comprehensive"
"Topic 8",96,"avoidance"
"Topic 8",97,"spectra"
"Topic 8",98,"cadpa"
"Topic 8",99,"hydride"
"Topic 8",100,"multiple"
"Topic 9",1,"lens"
"Topic 9",2,"focus"
"Topic 9",3,"system"
"Topic 9",4,"optical"
"Topic 9",5,"focal"
"Topic 9",6,"lenses"
"Topic 9",7,"zoom"
"Topic 9",8,"example"
"Topic 9",9,"focusing"
"Topic 9",10,"aberration"
"Topic 9",11,"present"
"Topic 9",12,"aperture"
"Topic 9",13,"surface"
"Topic 9",14,"group"
"Topic 9",15,"power"
"Topic 9",16,"length"
"Topic 9",17,"refractive"
"Topic 9",18,"object"
"Topic 9",19,"invention"
"Topic 9",20,"positive"
"Topic 9",21,"image"
"Topic 9",22,"conditional"
"Topic 9",23,"distance"
"Topic 9",24,"condition"
"Topic 9",25,"expression"
"Topic 9",26,"negative"
"Topic 9",27,"wide"
"Topic 9",28,"imaging"
"Topic 9",29,"order"
"Topic 9",30,"following"
"Topic 9",31,"according"
"Topic 9",32,"state"
"Topic 9",33,"limit"
"Topic 9",34,"focused"
"Topic 9",35,"pupil"
"Topic 9",36,"objective"
"Topic 9",37,"embodiment"
"Topic 9",38,"side"
"Topic 9",39,"optics"
"Topic 9",40,"magnification"
"Topic 9",41,"various"
"Topic 9",42,"aberrations"
"Topic 9",43,"pickup"
"Topic 9",44,"principal"
"Topic 9",45,"curvature"
"Topic 9",46,"field"
"Topic 9",47,"axis"
"Topic 9",48,"lower"
"Topic 9",49,"aspect"
"Topic 9",50,"stop"
"Topic 9",51,"third"
"Topic 9",52,"shooting"
"Topic 9",53,"beamlets"
"Topic 9",54,"number"
"Topic 9",55,"blur"
"Topic 9",56,"iframe"
"Topic 9",57,"will"
"Topic 9",58,"diffraction"
"Topic 9",59,"table"
"Topic 9",60,"camera"
"Topic 9",61,"spherical"
"Topic 9",62,"upon"
"Topic 9",63,"preferable"
"Topic 9",64,"view"
"Topic 9",65,"value"
"Topic 9",66,"denotes"
"Topic 9",67,"effects"
"Topic 9",68,"frontside"
"Topic 9",69,"upper"
"Topic 9",70,"showing"
"Topic 9",71,"eyes"
"Topic 9",72,"performance"
"Topic 9",73,"fourth"
"Topic 9",74,"aspherical"
"Topic 9",75,"beamlet"
"Topic 9",76,"position"
"Topic 9",77,"ratio"
"Topic 9",78,"becomes"
"Topic 9",79,"convex"
"Topic 9",80,"rearside"
"Topic 9",81,"pamphlet"
"Topic 9",82,"chromatic"
"Topic 9",83,"amount"
"Topic 9",84,"whole"
"Topic 9",85,"least"
"Topic 9",86,"figs"
"Topic 9",87,"also"
"Topic 9",88,"index"
"Topic 9",89,"subject"
"Topic 9",90,"diffractive"
"Topic 9",91,"wavefront"
"Topic 9",92,"numerical"
"Topic 9",93,"cemented"
"Topic 9",94,"variable"
"Topic 9",95,"formula"
"Topic 9",96,"telephoto"
"Topic 9",97,"point"
"Topic 9",98,"high"
"Topic 9",99,"plane"
"Topic 9",100,"meniscus"
"Topic 10",1,"terminal"
"Topic 10",2,"carrier"
"Topic 10",3,"terminals"
"Topic 10",4,"wireless"
"Topic 10",5,"example"
"Topic 10",6,"carriers"
"Topic 10",7,"access"
"Topic 10",8,"random"
"Topic 10",9,"time"
"Topic 10",10,"according"
"Topic 10",11,"least"
"Topic 10",12,"preamble"
"Topic 10",13,"plurality"
"Topic 10",14,"configuration"
"Topic 10",15,"various"
"Topic 10",16,"control"
"Topic 10",17,"timing"
"Topic 10",18,"configured"
"Topic 10",19,"alignment"
"Topic 10",20,"group"
"Topic 10",21,"embodiments"
"Topic 10",22,"signal"
"Topic 10",23,"uplink"
"Topic 10",24,"reference"
"Topic 10",25,"embodiment"
"Topic 10",26,"multiple"
"Topic 10",27,"comprise"
"Topic 10",28,"value"
"Topic 10",29,"connection"
"Topic 10",30,"specific"
"Topic 10",31,"corresponding"
"Topic 10",32,"synchronization"
"Topic 10",33,"transmitted"
"Topic 10",34,"like"
"Topic 10",35,"capability"
"Topic 10",36,"response"
"Topic 10",37,"counterpart"
"Topic 10",38,"different"
"Topic 10",39,"another"
"Topic 10",40,"signals"
"Topic 10",41,"block"
"Topic 10",42,"tenb"
"Topic 10",43,"command"
"Topic 10",44,"advance"
"Topic 10",45,"procedure"
"Topic 10",46,"physical"
"Topic 10",47,"aspects"
"Topic 10",48,"support"
"Topic 10",49,"sequence"
"Topic 10",50,"parallel"
"Topic 10",51,"part"
"Topic 10",52,"groups"
"Topic 10",53,"supported"
"Topic 10",54,"technology"
"Topic 10",55,"transmit"
"Topic 10",56,"receive"
"Topic 10",57,"scell"
"Topic 10",58,"additional"
"Topic 10",59,"using"
"Topic 10",60,"received"
"Topic 10",61,"short"
"Topic 10",62,"senb"
"Topic 10",63,"comprising"
"Topic 10",64,"combination"
"Topic 10",65,"process"
"Topic 10",66,"predefined"
"Topic 10",67,"long"
"Topic 10",68,"cause"
"Topic 10",69,"andor"
"Topic 10",70,"release"
"Topic 10",71,"based"
"Topic 10",72,"primary"
"Topic 10",73,"employing"
"Topic 10",74,"upon"
"Topic 10",75,"initial"
"Topic 10",76,"transmissions"
